phrase;rel_page;2019-04-30;2019-05-01;2019-05-02;2019-05-03;2019-05-04;2019-05-05;2019-05-06;2019-05-07;2019-05-08;2019-05-09;2019-05-10;2019-05-11;2019-05-12;2019-05-13
dr sea маска для лица;https://da-vita.ru/catalog/maski-dlya-lica-dr-sea.html;53.0;101.0;101.0;101.0;101.0;101.0;59.0;59.0;59.0;58.0;56.0;77.0;78.0;78.0
dr sea ночной крем отзывы;-;91.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
dr sea пилинг;https://da-vita.ru/catalog/ochishchenie_koji_lica/piling_dlya_lica_bez_soderjaniya_mila_s_vinogradnimi_kostochkami_i_limonom.html;101.0;53.0;53.0;63.0;62.0;61.0;61.0;65.0;60.0;55.0;59.0;59.0;62.0;57.0
dr sea пилинг для лица;https://da-vita.ru/catalog/pilingi-dlya-lica-dr-sea.html;27.0;53.0;51.0;53.0;56.0;56.0;34.0;49.0;31.0;48.0;46.0;51.0;46.0;45.0
dr sea тоник для лица;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;40.0;43.0;42.0;42.0;41.0;43.0;39.0;38.0;36.0;38.0;37.0;38.0;36.0;37.0
dr sea укрепляющий и питательный ночной крем;https://da-vita.ru/catalog/kremi-s-vitaminom-c/ukreplyayushchii_i_pitatelnii_nochnoi_krem.html;30.0;40.0;40.0;39.0;35.0;34.0;33.0;32.0;35.0;33.0;30.0;32.0;31.0;31.0
dr sea шампунь цена;https://da-vita.ru/catalog/drsea.html;30.0;50.0;60.0;59.0;57.0;59.0;60.0;65.0;57.0;59.0;62.0;59.0;58.0;61.0
dsm mon platin косметика;https://da-vita.ru/catalog/mon-platin-dsm.html;4.0;11.0;10.0;12.0;11.0;8.0;10.0;10.0;10.0;10.0;11.0;10.0;8.0;8.0
health and beauty крем;https://da-vita.ru/catalog/kremi-health-and-beauty.html;51.0;46.0;48.0;50.0;28.0;35.0;37.0;39.0;48.0;45.0;46.0;40.0;36.0;37.0
health beauty коллаген крем;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/collagen_day_cream.html;31.0;9.0;9.0;10.0;9.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
hl labs косметика израиль официальный сайт;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
hl косметика израиль;-;3.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
hl косметика израиль официальный;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;89.0;101.0;86.0;101.0;101.0
hl косметика израиль официальный сайт;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land cosmetic;-;89.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land где купить в москве;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land косметика;-;82.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land косметика купить;-;6.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land косметика купить в москве;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land косметика купить спб;-;3.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land купить;-;12.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land купить в москве;-;16.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land купить в москве в магазине;-;11.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land купить спб;-;4.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land официальный сайт;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land официальный сайт интернет;-;7.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land официальный сайт интернет магазин;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land официальный сайт интернет магазин москва;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
holy land спб;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
kedem косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;15.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0
kedem косметика купить;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;88.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
kreogen израиль косметика;https://da-vita.ru/catalog/kreogen.html;3.0;4.0;4.0;4.0;5.0;3.0;3.0;4.0;5.0;3.0;4.0;3.0;4.0;4.0
kreogen косметика;https://da-vita.ru/catalog/kreogen.html;4.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0
mineralium dead sea косметика;https://da-vita.ru/catalog/mineralium.html;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
mineralium косметика;https://da-vita.ru/catalog/mineralium.html;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0
mon platin;https://da-vita.ru/catalog/mon-platin.html;30.0;63.0;65.0;70.0;70.0;70.0;71.0;74.0;76.0;76.0;71.0;72.0;71.0;71.0
mon platin dsm;https://da-vita.ru/catalog/mon-platin-dsm.html;5.0;101.0;65.0;66.0;15.0;63.0;19.0;74.0;77.0;66.0;72.0;64.0;68.0;68.0
mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;63.0;7.0;5.0;8.0;6.0;7.0;7.0;9.0;86.0;8.0;9.0;7.0;7.0;7.0
mon platin купить;https://da-vita.ru/catalog/mon-platin.html;26.0;21.0;21.0;18.0;24.0;27.0;23.0;18.0;26.0;25.0;25.0;24.0;24.0;24.0
premier крем для лица;https://da-vita.ru/catalog/dlya_lica_man/pitatelnii-krem-dlya-lica-dlya-mujchin-premier.html;14.0;101.0;96.0;89.0;92.0;92.0;96.0;97.0;92.0;82.0;81.0;78.0;80.0;80.0
premier крем израиль;https://da-vita.ru/catalog/premier.html;11.0;18.0;20.0;23.0;20.0;20.0;19.0;17.0;15.0;14.0;15.0;16.0;15.0;16.0
premier серум;https://da-vita.ru/catalog/sivorotki-serumi-premier.html;10.0;15.0;32.0;20.0;56.0;60.0;61.0;63.0;57.0;56.0;61.0;60.0;59.0;56.0
sea and spa cosmetics каталог израиль;https://da-vita.ru/catalog/sea_of_spa.html;25.0;17.0;22.0;24.0;18.0;22.0;26.0;19.0;16.0;13.0;13.0;13.0;13.0;13.0
sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;7.0;16.0;16.0;25.0;26.0;25.0;27.0;31.0;17.0;20.0;17.0;14.0;16.0;16.0
sea of spa косметика;https://da-vita.ru/catalog/sea_of_spa.html;16.0;12.0;11.0;12.0;11.0;11.0;11.0;11.0;10.0;9.0;9.0;9.0;9.0;9.0
sea of spa косметика купить;https://da-vita.ru/catalog/sea_of_spa.html;53.0;6.0;6.0;8.0;6.0;8.0;8.0;8.0;8.0;6.0;6.0;6.0;5.0;6.0
sea of spa косметика официальный;https://da-vita.ru/catalog/sea_of_spa.html;51.0;11.0;14.0;13.0;15.0;15.0;14.0;17.0;17.0;12.0;15.0;13.0;15.0;15.0
sea of spa косметика официальный сайт;https://da-vita.ru/catalog/sea_of_spa.html;43.0;22.0;27.0;20.0;27.0;22.0;33.0;35.0;31.0;30.0;31.0;31.0;27.0;29.0
sea of spa крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-sea-of-spa.html;16.0;15.0;17.0;19.0;16.0;19.0;19.0;16.0;20.0;19.0;24.0;20.0;22.0;21.0
sea of spa купить;https://da-vita.ru/catalog/sea_of_spa.html;39.0;6.0;6.0;7.0;6.0;7.0;7.0;8.0;6.0;6.0;7.0;6.0;6.0;6.0
sea of spa купить в спб;https://da-vita.ru/catalog/sea_of_spa.html;11.0;5.0;5.0;5.0;6.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;5.0;5.0
spa pharma dead sea minerals;https://da-vita.ru/catalog/spa-pharma.html;5.0;3.0;4.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0
spa pharma mineral gel peeling;https://da-vita.ru/catalog/spa-pharma.html;9.0;10.0;9.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;9.0;9.0;8.0;9.0
spa pharma гель;https://da-vita.ru/catalog/spa-pharma.html;7.0;5.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0
spa pharma косметика израиль;https://da-vita.ru/catalog/spa-pharma.html;2.0;11.0;11.0;12.0;13.0;11.0;12.0;10.0;11.0;12.0;11.0;11.0;12.0;12.0
spa pharma купить;https://da-vita.ru/catalog/spa-pharma.html;10.0;7.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
spa pharma лосьон;https://da-vita.ru/catalog/spa-pharma.html;11.0;22.0;16.0;37.0;35.0;33.0;31.0;33.0;33.0;31.0;32.0;15.0;27.0;31.0
spa pharma маска;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/gryazevaya-maska-dlya-normalnoi-i-jirnoi-koji-lica.html;7.0;31.0;31.0;32.0;33.0;36.0;36.0;33.0;32.0;28.0;32.0;30.0;30.0;26.0
spa pharma масло;https://da-vita.ru/catalog/uvlajnenie-i-pitanie-koji-tela-spapharma.html;4.0;11.0;10.0;11.0;10.0;9.0;8.0;10.0;12.0;11.0;10.0;12.0;11.0;9.0
spa pharma шампунь;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi-shampun-dlya-vseh-tipov-volos.html;3.0;5.0;5.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;4.0;4.0;5.0;5.0
акне причины;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
анти акне;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
антивозрастной крем premier;https://da-vita.ru/catalog/antivozrastnaya-kosmetik_premier.html;12.0;12.0;13.0;7.0;9.0;11.0;13.0;10.0;9.0;9.0;10.0;10.0;6.0;8.0
антивозрастной крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;;8.0;8.0;8.0;8.0;7.0;8.0;8.0;8.0;8.0;7.0;7.0;8.0;9.0
антиоксиданты в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;;5.0;8.0;8.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
антиоксиданты в косметике это;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;;4.0;4.0;4.0;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0
антиоксиданты что это в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
антиоксиданты что это такое простыми словами;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
ахава израильская косметика;https://da-vita.ru/catalog/ahava.html;2.0;7.0;7.0;8.0;7.0;7.0;8.0;7.0;7.0;7.0;8.0;7.0;7.0;7.0
ахава израильская косметика каталог;https://da-vita.ru/catalog/ahava.html;10.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0
ахава израильская косметика купить;https://da-vita.ru/catalog/ahava.html;5.0;5.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;5.0;7.0;7.0;7.0;7.0
ахава израильская косметика купить в спб;https://da-vita.ru/catalog/ahava.html;9.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;4.0;4.0;5.0
ахава израильская косметика официальный сайт;https://da-vita.ru/catalog/ahava.html;5.0;66.0;68.0;72.0;69.0;66.0;66.0;33.0;34.0;41.0;31.0;31.0;32.0;42.0
ахава израильская косметика официальный сайт в москве;https://da-vita.ru/catalog/ahava.html;29.0;20.0;20.0;20.0;24.0;18.0;20.0;21.0;16.0;17.0;19.0;17.0;15.0;19.0
бб крем на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
борьба с акне;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
бюджетные крема против пигментных пятен на весну;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
вв крем на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
вв крем на лето для жирной кожи;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
вв крем на лето для комбинированной кожи;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
вв лучшие крема на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
влияние соли мертвого моря на кожу лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;8.0;2.0;2.0;2.0;2.0;5.0;6.0;5.0;6.0;6.0;7.0;4.0;4.0
где купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;1.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;12.0;9.0
где купить израильскую косметику;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;5.0;8.0;4.0;9.0;8.0;7.0;4.0;7.0;6.0;6.0;5.0;8.0;8.0;8.0
где купить косметику ahava;https://da-vita.ru/catalog/ahava.html;2.0;8.0;9.0;8.0;9.0;6.0;11.0;8.0;8.0;8.0;8.0;8.0;10.0;9.0
где купить соль мертвого моря;https://da-vita.ru/catalog/sol-mertvogo-morya.html;101.0;9.0;11.0;9.0;12.0;11.0;11.0;11.0;11.0;10.0;9.0;9.0;9.0;8.0
где можно купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;5.0;9.0;8.0;8.0;8.0;9.0;7.0;8.0;8.0;8.0;8.0;9.0;7.0;8.0
гели premier;https://da-vita.ru/catalog/premier.html;11.0;9.0;10.0;8.0;9.0;10.0;12.0;20.0;7.0;8.0;7.0;7.0;7.0;7.0
гель для душа health beauty;https://da-vita.ru/catalog/dlya_volos_man/shampoo_gel_man.html;24.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;69.0;69.0
гель на основе грязи мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;19.0;19.0;28.0;27.0;33.0;39.0;31.0;33.0;33.0;28.0;18.0;25.0;23.0;20.0
гель на основе грязи мертвого моря купить;https://da-vita.ru/catalog/naturalnaya-gryaz-mertvogo-morya.html;8.0;29.0;34.0;27.0;26.0;26.0;29.0;28.0;26.0;25.0;28.0;26.0;25.0;20.0
грязевая маска ahava;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;8.0;39.0;34.0;41.0;34.0;33.0;34.0;34.0;34.0;31.0;31.0;32.0;31.0;30.0
грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_sos.html;22.0;51.0;63.0;50.0;63.0;63.0;64.0;47.0;52.0;58.0;76.0;76.0;59.0;71.0
грязевая маска для лица;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica.html;6.0;16.0;16.0;18.0;16.0;18.0;21.0;18.0;18.0;18.0;18.0;18.0;17.0;14.0
грязевая маска для лица израиль;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica.html;12.0;4.0;4.0;4.0;3.0;3.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
грязевой шампунь dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;31.0;38.0;38.0;40.0;36.0;37.0;37.0;39.0;40.0;41.0;41.0;41.0;39.0;40.0
грязевой шампунь мертвого моря;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi_shampun_s_maslom.html;78.0;8.0;7.0;5.0;7.0;7.0;7.0;7.0;7.0;7.0;9.0;7.0;7.0;7.0
грязевые маски для лица мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
грязевые шампуни из израиля;https://da-vita.ru/catalog/izrailskie-shampuni-dlya-volos.html;;4.0;6.0;7.0;6.0;7.0;6.0;6.0;8.0;8.0;7.0;7.0;7.0;5.0
грязи мертвого моря купить в санкт петербурге;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;4.0;12.0;11.0;12.0;10.0;11.0;11.0;10.0;11.0;11.0;11.0;11.0;11.0;12.0
грязи мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;10.0;14.0;15.0;15.0;14.0;15.0;15.0;14.0;13.0;13.0;13.0;12.0;12.0;13.0
грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
грязь мертвого моря dr sea;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_1500ml.html;41.0;7.0;7.0;7.0;7.0;8.0;9.0;9.0;12.0;10.0;11.0;10.0;9.0;9.0
грязь мертвого моря для волос;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;14.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
грязь мертвого моря для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4.0;3.0;2.0;3.0;2.0;2.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0
