phrase;rel_page;2018-11-30;2018-12-01;2018-12-02;2018-12-03;2018-12-04;2018-12-05;2018-12-06;2018-12-07;2018-12-08;2018-12-09;2018-12-10;2018-12-11;2018-12-12;2018-12-13;2018-12-14;2018-12-15;2018-12-16;2018-12-17;2018-12-18;2018-12-19
kedem косметика купить;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;3;2
kedem косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
kreogen израиль косметика;https://da-vita.ru/catalog/kreogen.html;5;5;5;5;4;5;5;4;5;5;5;9;4;4;5;5;5;6;4;5
kreogen косметика;https://da-vita.ru/catalog/kreogen.html;4;4;4;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3
mineralium dead sea косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2
mineralium косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
mon platin;-;85;85;96;101;101;101;95;96;96;101;101;101;101;101;101;101;101;101;101;101
mon platin dsm;https://da-vita.ru/catalog/mon-platin-dsm.html;88;88;99;86;82;82;84;84;84;76;76;90;90;86;97;71;75;75;69;69
mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;4;2
mon platin купить;https://da-vita.ru/catalog/mon-platin.html;6;4;7;5;6;5;6;5;6;4;5;6;6;6;7;7;6;3;10;7
naomi косметика;https://da-vita.ru/catalog/naomi.html;36;38;33;34;28;24;31;34;35;31;31;30;29;30;35;26;27;26;30;29
naomi косметика мертвого моря;https://da-vita.ru/catalog/naomi.html;16;22;22;21;20;21;23;22;22;19;18;16;19;17;19;17;19;26;15;37
premier крем для лица;https://da-vita.ru/catalog/dlya_lica_man/pitatelnii-krem-dlya-lica-dlya-mujchin-premier.html;101;101;92;55;54;51;51;52;54;50;48;49;53;52;53;53;35;45;49;47
premier крем израиль;https://da-vita.ru/catalog/premier.html;5;5;6;4;5;5;5;6;6;6;4;5;4;7;7;7;11;11;12;7
premier серум;https://da-vita.ru/catalog/sivorotki-serumi-premier.html;22;25;19;16;20;19;13;14;15;15;16;15;22;19;12;31;12;12;22;13
sea of spa крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-sea-of-spa.html;29;54;27;17;17;17;79;81;81;89;89;89;32;90;88;88;95;95;95;95
sea of spa лосьон;https://da-vita.ru/catalog/losoni-sea-of-spa.html;14;22;26;16;11;15;19;20;21;20;20;20;28;17;20;20;18;19;25;18
sea of spa маска для лица;https://da-vita.ru/catalog/maski-dlya-lica-sea-of-spa.html;11;19;11;18;9;14;14;12;13;11;11;11;9;8;14;20;13;16;13;12
sea of spa молочко;https://da-vita.ru/catalog/molochko-sea-of-spa.html;10;15;17;10;8;7;10;10;15;7;9;10;8;8;8;7;6;8;7;8
sea of spa сыворотка для лица;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;22;16;28;24;25;21;15;25;21;13;22;17;15;15;18;13;13;13;16;16
sea of spa тоник;https://da-vita.ru/catalog/toniki-sea-of-spa.html;15;13;17;9;11;21;14;14;17;12;13;14;19;18;15;17;26;21;18;18
sea of spa увлажняющий крем;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/legkii_uvlajnyayushchii_dnevnoi_krem_dlya_jirnoi_koji_alternative_plus.html;43;42;44;42;39;38;52;44;45;42;43;43;52;51;47;51;47;74;71;70
spa pharma dead sea minerals;https://da-vita.ru/catalog/spa-pharma.html;4;5;4;3;3;3;3;3;3;3;3;3;4;3;4;4;3;3;3;3
spa pharma mineral gel peeling;https://da-vita.ru/catalog/spa-pharma.html;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4
spa pharma гель;https://da-vita.ru/catalog/spa-pharma.html;3;4;3;4;4;4;3;3;3;4;4;4;6;5;5;4;4;4;4;4
spa pharma косметика израиль;https://da-vita.ru/catalog/spa-pharma.html;5;5;6;5;6;6;6;5;4;4;5;5;6;6;6;6;6;4;4;4
spa pharma купить;https://da-vita.ru/catalog/spa-pharma.html;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4
spa pharma лосьон;https://da-vita.ru/catalog/spa-pharma.html;20;19;34;23;24;23;19;21;16;19;20;16;12;10;13;23;12;7;10;7
spa pharma маска;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya-maska-dlya-vseh-tipov-volos.html;21;19;43;24;18;22;19;35;24;17;18;21;26;24;37;27;23;23;26;25
spa pharma масло;https://da-vita.ru/catalog/spa-pharma.html;8;12;14;10;7;8;8;5;7;8;9;9;7;8;9;9;8;8;7;6
spa pharma шампунь;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi-shampun-dlya-vseh-tipov-volos.html;8;7;3;7;4;5;4;2;5;4;7;4;7;4;5;10;4;4;4;4
акне причины;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска для лица купить;https://da-vita.ru/catalog/alginatnie.html;62;61;59;56;53;51;55;58;61;51;44;48;56;53;48;49;46;44;45;44
альгинатная маска для лица купить интернет магазин;https://da-vita.ru/catalog/alginatnie.html;48;45;46;48;46;41;41;43;43;44;53;32;42;36;25;37;40;35;40;35
альгинатная маска для лица купить цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска на сколько наносить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
анти акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем 60;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;19;19;18;17;17;18;16;25;16;15;15;16;16;16;15;16;13;15;15;15
антивозрастной крем premier;https://da-vita.ru/catalog/antivozrastnaya-kosmetik_premier.html;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
антивозрастной крем для век;https://da-vita.ru/catalog/antivozrastnie-kremi-dlya-vek.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;83
антивозрастной крем для кожи вокруг глаз купить;https://da-vita.ru/catalog/antivozrastnie-kremi-dlya-glaz.html;8;2;4;4;4;9;3;3;4;4;3;4;6;5;4;14;4;5;6;4
антивозрастной крем для лица с какого возраста;-;101;101;101;101;101;101;101;101;101;101;101;101;31;101;101;101;101;101;101;101
антивозрастной крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3
антивозрастной крем после 30 лет купить;https://da-vita.ru/catalog/antivozrastnie-kremi-30-let.html;2;1;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;2
антивозрастной крем после 35 купить;https://da-vita.ru/catalog/antivozrastnie-kremi.html;4;3;3;2;2;2;2;1;3;1;2;2;2;2;2;3;1;1;1;1
антивозрастной крем после 40 купить;https://da-vita.ru/catalog/antivozrastnie-kremi-40-let.html;3;3;2;2;2;2;2;2;3;1;2;3;3;3;1;1;2;1;1;1
антивозрастной крем с какого возраста;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;101;101;19;17;14;101;101;101;15;14;15;13;21;16;16;17;15;16;17;15
антивозрастной крем с какого возраста можно пользоваться;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;79;81;20;16;13;14;101;101;14;15;15;14;20;15;13;20;20;21;22;21
антивозрастной тональный крем купить;https://da-vita.ru/catalog/antivozrastnie-tonalnie-kremi.html;12;12;13;9;8;7;8;8;8;11;9;5;9;7;9;7;8;12;16;7
антивозрастной увлажняющий тональный крем;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастные кремы для лица после 60 лет;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;37;68;36;33;32;42;33;34;33;36;35;61;34;34;32;30;32;32;59;35
антиоксиданты в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;4;6;4;6;6;5;4;4;4;4;4;4;5;3;3;3;3;3;4;3
антиоксиданты в косметике это;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;4;2;4;2;4;3;3;3;3;2;3;3;3;4;4;3;3;3;3;3
антиоксиданты что это в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3
антиоксиданты что это такое простыми словами;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитное масло купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитные средства купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ахава израильская косметика;https://da-vita.ru/catalog/ahava.html;6;5;6;6;6;8;5;6;6;6;6;6;6;6;6;6;5;7;6;6
ахава израильская косметика каталог;https://da-vita.ru/catalog/ahava.html;5;7;9;6;5;6;6;6;6;6;5;6;5;4;4;4;5;5;5;7
бальзам для губ с алоэ вера;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бальзам кондиционер для вьющихся волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бб крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
безсульфатные шампуни для волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;19;20;26;23;21;20;23;22;31;22;24;22;25;25;26;26;30;25;21;22
безсульфатные шампуни для волос с кератином;-;31;28;101;101;100;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101
безсульфатные шампуни для волос цена;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;22;22;24;25;20;35;23;24;25;20;21;26;26;24;23;21;21;22;41;21
безсульфатные шампуни для кудрявых волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni-d.html;14;14;40;19;13;11;20;14;15;14;17;12;16;15;11;18;10;9;11;12
безсульфатные шампуни для окрашенных волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-okrashennih-volos.html;18;15;28;14;14;15;10;16;17;11;15;12;20;19;17;16;20;17;19;23
безсульфатные шампуни для сухих волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-suhih-volos.html;19;15;20;18;19;18;20;22;24;20;20;22;22;19;18;20;16;22;19;16
безсульфатный шампунь для вьющихся волос;-;42;76;78;78;77;77;101;99;99;98;98;94;96;97;100;100;101;101;101;101
благотворный дневной крем от морщин;https://da-vita.ru/catalog/krem-ot-morshchin-dnevnoi.html;72;72;44;39;39;37;79;79;79;80;80;81;85;86;86;90;97;98;97;97
борьба с акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бюджетные крема против пигментных пятен на весну;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для жирной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв лучшие крема на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
витамин е крем цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
витаминные маски купить;https://da-vita.ru/catalog/vitaminnie.html;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
влияние соли мертвого моря на кожу лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;9;4;3;3;8;3;3;8;9;5;7;3;5;9;6;4;6;5;6;6
восстанавливающие маски для рук купить;https://da-vita.ru/catalog/maski-dlya-vosstanovleniya-potreskavsheisya-koji-ruk.html;27;28;26;16;22;16;16;18;21;13;16;20;31;24;28;28;28;28;26;22
восстанавливающий крем для рук купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;7;7;9;8;8;7;7;7;7;6;8;8;8;8;8;9;7;7;9
где купить израильскую косметику;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;6;6;4;5;3;3;5;4;4;3;3;3;3;3;5;5;4;5;4;6
где купить косметику ahava;https://da-vita.ru/catalog/ahava.html;4;9;6;6;5;5;4;4;5;6;5;6;6;9;5;5;10;7;11;5
где купить соль мертвого моря;https://da-vita.ru/catalog/sol-mertvogo-morya.html;5;8;8;6;5;5;6;6;6;5;5;8;5;5;9;5;8;6;8;5
где можно купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;7;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;11
где можно купить крем для лица;https://da-vita.ru/catalog/lico.html;74;68;74;75;71;69;59;71;72;66;74;75;71;72;74;74;75;70;75;75
гели premier;https://da-vita.ru/catalog/premier.html;4;2;4;2;18;2;2;4;4;3;3;4;2;2;2;2;2;4;2;2
гель для глаз с черной икрой купить;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-chernoi-ikroi.html;23;31;1;1;1;1;1;2;2;1;1;1;2;7;1;1;1;1;2;1
гель для душа health beauty;https://da-vita.ru/catalog/dlya_volos_man/shampoo_gel_man.html;66;36;65;61;35;59;62;65;65;61;25;58;84;84;59;62;58;40;45;53
гель для душа для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа для мужчин цена;-;101;101;101;83;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа купить оптом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа мужской цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа от прыщей на теле купить;https://da-vita.ru/catalog/gel-dlya-dusha-ot-prishchei-na-tele.html;2;2;2;2;2;6;2;2;1;2;2;2;2;2;2;2;2;2;2;2
гель для душа с аргановым маслом;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;19;20;22;13;12;12;15;15;20;14;11;14;25;8;26;11;14;21;45;21
гель для душа с аргановым маслом купить;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;6;5;5;5;4;4;4;4;6;4;3;4;8;7;17;5;6;4;4;6
гель для душа цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель масло для душа купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель на основе грязи мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;41;37;55;42;40;35;44;42;46;38;26;32;34;24;31;30;30;37;18;36
гель на основе грязи мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza.html;27;26;24;20;24;24;21;21;27;20;22;21;18;19;19;18;16;16;20;16
гель скраб для душа;-;101;86;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель скраб для душа купить;https://da-vita.ru/catalog/gel-skrab-dlya-dusha.html;6;9;12;6;7;8;6;6;6;6;6;6;7;7;5;7;8;8;12;12
гиалуроновая кислота сыворотка купить;https://da-vita.ru/catalog/kosmetika-s-oblepihovim-maslom/gialuronovaya-obnovlyayushchaya-sivorotka-dlya-lica.html;101;101;101;101;101;101;101;101;101;96;96;101;101;101;99;99;101;101;89;89
гиалуроновая сыворотка купить;https://da-vita.ru/catalog/kosmetika-s-oblepihovim-maslom/gialuronovaya-obnovlyayushchaya-sivorotka-dlya-lica.html;101;101;101;73;59;57;63;70;70;51;50;54;66;57;77;62;60;61;67;65
гиалуроновая сыворотка цена;-;101;101;78;74;75;72;89;101;90;74;74;72;64;76;63;73;76;68;101;101
грязевая маска ahava;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;33;18;27;31;24;33;18;19;21;17;18;18;21;17;21;21;20;17;40;22
грязевая маска sea of spa;https://da-vita.ru/catalog/maski-dlya-lica-sea-of-spa.html;33;24;19;22;21;23;15;23;24;24;19;19;24;17;19;19;22;15;19;16
грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos.html;45;44;43;42;41;28;28;42;43;37;36;15;42;42;42;41;39;43;31;38
грязевая маска для волос sea of spa;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_sos.html;4;5;4;5;5;6;4;4;4;5;6;5;4;3;3;3;2;3;2;2
грязевая маска для лица;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica.html;22;16;23;16;18;15;16;20;25;30;14;4;7;6;8;8;8;9;11;7
грязевая маска для лица израиль;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica.html;9;5;8;4;4;4;4;4;4;3;4;4;4;3;2;2;3;3;3;3
грязевой шампунь dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;28;34;42;34;32;30;31;33;36;29;29;32;38;31;37;36;37;33;40;34
грязевой шампунь мертвого моря;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi_shampun_s_maslom.html;12;5;10;8;7;8;4;6;4;5;6;5;7;5;8;10;8;4;9;7
грязевые магнитные маски;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/magnitnaya_gryazevaya_maska_dlya_vseh_tipov_koji.html;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
грязевые маски для лица в домашних условиях;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязевые маски для лица мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;1;3;3;1
грязевые маски мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1
